Sentence_1,Sentence_2
ಮಾಲ್ ದಾಳಿಕೋರರು 'ಕಡಿಮೆ ಹೆಚ್ಚು' ತಂತ್ರವನ್ನು ಬಳಸಿದ್ದಾರೆ,"ಕೀನ್ಯಾದಲ್ಲಿ, ಆಕ್ರಮಣಕಾರರು 'ಕಡಿಮೆ ಹೆಚ್ಚು' ತಂತ್ರವನ್ನು ಬಳಸಿದರು"
ಕಾಂಬೋಡಿಯಾದ ಕಾರ್ಮಿಕರ ಸಾವಿನ ಸ್ಮರಣಾರ್ಥ ವಿರೋಧ ಪಕ್ಷದ ನಾಯಕರು ಹೊರಹೊಮ್ಮುತ್ತಾರೆ,ಕಾಂಬೋಡಿಯಾ ವಿರೋಧ ಪಕ್ಷದ ನಾಯಕರನ್ನು ನ್ಯಾಯಾಲಯಕ್ಕೆ ಕರೆಸಲಾಯಿತು
ದುರ್ಬಲ ಗಳಿಕೆಯು ಷೇರುಗಳನ್ನು ಕಡಿಮೆಗೊಳಿಸುತ್ತದೆ,ದುರ್ಬಲ ಗಳಿಕೆಯಿಂದಾಗಿ ವಾಲ್ ಸ್ಟ್ರೀಟ್ ಷೇರುಗಳು ಕಡಿಮೆಯಾಗಿದೆ
ಸೊಲೊಮನ್ ದ್ವೀಪದಲ್ಲಿ 6.8 ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ,ಸೊಲೊಮನ್ ದ್ವೀಪದಲ್ಲಿ 6.3 ತೀವ್ರತೆಯ ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ
ಶಾಂಘೈನಲ್ಲಿ ದ್ರವ ಅಮೋನಿಯಾ ಸೋರಿಕೆ 15 ಸಾವು,ದ್ರವ ಅಮೋನಿಯಾ ಸೋರಿಕೆ ಶಾಂಘೈನಲ್ಲಿ ಕನಿಷ್ಠ 15 ಮಂದಿಯನ್ನು ಕೊಲ್ಲುತ್ತದೆ
ಸಿರಿಯಾದ ಸ್ನೇಹಿತರು ವಿರೋಧ ಒಕ್ಕೂಟವನ್ನು ಸಿರಿಯನ್ ಜನರ ಕಾನೂನುಬದ್ಧ ಪ್ರತಿನಿಧಿಯಾಗಿ ಗುರುತಿಸುತ್ತಾರೆ,ಸಿರಿಯಾದ ಸ್ನೇಹಿತರು ವಿರೋಧವನ್ನು ಏಕೈಕ ಪ್ರತಿನಿಧಿಯಾಗಿ ಗುರುತಿಸುತ್ತಾರೆ
ಭಾರತೀಯ ಮಾಧ್ಯಮ: ಕಾಮನ್‌ವೆಲ್ತ್ ಶೃಂಗಸಭೆ,ಕಾಮನ್‌ವೆಲ್ತ್ ಶೃಂಗಸಭೆಯನ್ನು ತಿರಸ್ಕರಿಸಿದ ಭಾರತೀಯ ಪ್ರಧಾನಿ
ರಷ್ಯಾ ವಿಮಾನ ದುರಂತದಲ್ಲಿ ಸಾವಿನ ಸಂಖ್ಯೆ ಏರಿಕೆಯಾಗಿದೆ,ಇಟಲಿ ಕೋಚ್ ಅಪಘಾತದಲ್ಲಿ ಸಾವಿನ ಸಂಖ್ಯೆ 39 ಕ್ಕೆ ಏರಿಕೆಯಾಗಿದೆ
ಮನೆ ತಂಗಿ' ಹಗರಣದಲ್ಲಿ 7 ಮಂದಿ ಬಂಧನ,"""ಮನೆ ಸಹೋದರಿ"" ಹಗರಣಕ್ಕಾಗಿ ಚೀನಾ 7 ಜನರನ್ನು ಬಂಧಿಸಿದೆ"
ಇರಾಕ್‌ನಲ್ಲಿ ಆತ್ಮಹತ್ಯಾ ಬಾಂಬರ್ ಅಂತ್ಯಕ್ರಿಯೆಯ ಮೇಲೆ ದಾಳಿ,ಸಿರಿಯಾದಲ್ಲಿ ಆತ್ಮಹತ್ಯಾ ಬಾಂಬರ್ ದಾಳಿ
ಬೋಯಿಂಗ್ 787 ಡ್ರೀಮ್‌ಲೈನರ್‌ಗೆ ಬೆಂಕಿ ಹತ್ತಿಕೊಂಡಿತು; ಸ್ಟಾಕ್ ಹೊಡೆತವನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ,787 ಡ್ರೀಮ್‌ಲೈನರ್‌ನಲ್ಲಿ ಬೆಂಕಿಯ ನಂತರ ಬೋಯಿಂಗ್ ಸ್ಟಾಕ್ ಉರುಳುತ್ತದೆ
ಸಿರಿಯಾ ಮಿಲಿಟರಿ ಪೊಲೀಸ್ ಮುಖ್ಯಸ್ಥರು ವಿರೋಧಕ್ಕೆ ಪಕ್ಷಾಂತರ,ಸಿರಿಯಾ ಮಿಲಿಟರಿ ಪೊಲೀಸ್ ಮುಖ್ಯಸ್ಥರು ಬಂಡುಕೋರರಿಗೆ ಪಕ್ಷಾಂತರ
ಬೆಲ್ಜಿಯಂ ಕೋಚ್ ಅಪಘಾತದಲ್ಲಿ ಐವರು ಸಾವು,ಬೆಲ್ಜಿಯಂ ಬಸ್ ಅಪಘಾತದಲ್ಲಿ ಹದಿಹರೆಯದವರು ಸೇರಿದಂತೆ 5 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ನೈಜೀರಿಯಾದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು ಏಳು ವಿದೇಶಿ ಕಾರ್ಮಿಕರನ್ನು ಅಪಹರಿಸಿದ್ದಾರೆ,ನೈಜೀರಿಯಾದಲ್ಲಿ ಏಳು ವಿದೇಶಿ ಕಾರ್ಮಿಕರನ್ನು ಅಪಹರಿಸಲಾಗಿದೆ
ಇಸ್ರೇಲ್ ವಿಮಾನಗಳು ಸಿರಿಯಾದೊಳಗೆ ದಾಳಿ ಮಾಡುತ್ತವೆ,ಇಸ್ರೇಲ್ ಸಿರಿಯಾದ ಮೇಲೆ ವೈಮಾನಿಕ ದಾಳಿ ನಡೆಸಿತು
ಪಶ್ಚಿಮ ದಂಡೆಯಲ್ಲಿ ಇಸ್ರೇಲಿ ಪಡೆಗಳೊಂದಿಗೆ ಪ್ಯಾಲೆಸ್ತೀನಿಯರು ಘರ್ಷಣೆ ನಡೆಸಿದರು,ಪಶ್ಚಿಮ ದಂಡೆಯಲ್ಲಿ ಭದ್ರತಾ ಪಡೆಗಳೊಂದಿಗೆ ಜೆರುಸಲೆಮ್ ಪ್ಯಾಲೆಸ್ಟೀನಿಯಾದ ಘರ್ಷಣೆ
ಹೊಸ ದರ್ಫುರ್ ಬುಡಕಟ್ಟು ಘರ್ಷಣೆಯಲ್ಲಿ 10 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದರು,ನ್ಯೂ ಡಾರ್ಫರ್ ಬುಡಕಟ್ಟು ಘರ್ಷಣೆಯಲ್ಲಿ 9 ಮಂದಿ ಸತ್ತರು
ಇರಾನಿಯನ್ನರು ಅಧ್ಯಕ್ಷೀಯ ಚುನಾವಣೆಯಲ್ಲಿ ಮತ ಚಲಾಯಿಸುತ್ತಾರೆ,ಮಾಲಿ ಅಧ್ಯಕ್ಷೀಯ ಚುನಾವಣೆಯಲ್ಲಿ ಕೀಟಾ ಗೆದ್ದಿದ್ದಾರೆ
ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಸ್ ಅಪಘಾತದಲ್ಲಿ 12 ಮಂದಿ ಸಾವು,ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ರಸ್ತೆ ಅಪಘಾತದಲ್ಲಿ 10 ಮಂದಿ ಸಾವು
ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಯುಎಸ್ ಡ್ರೋನ್ ದಾಳಿಯ ವಿರುದ್ಧ ಪ್ರತಿಭಟನೆಯನ್ನು ಮುಂದೂಡಲಾಗಿದೆ,ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಅಮೆರಿಕದ ಡ್ರೋನ್ ದಾಳಿಗೆ 6 ಮಂದಿ ಬಲಿ
ಮಾರಣಾಂತಿಕ ಬಾಂಗ್ಲಾದೇಶ ಕಟ್ಟಡ ಕುಸಿತದ ನಂತರ 8 ಮಂದಿಯನ್ನು ಬಂಧಿಸಲಾಗಿದೆ,"ಬಾಂಗ್ಲಾದೇಶ ಕಟ್ಟಡಗಳ ಸಂಖ್ಯೆ 352 ಕ್ಕೆ ಏರಿದ್ದು, ನಾಲ್ವರನ್ನು ಬಂಧಿಸಲಾಗಿದೆ"
ಅಫ್ಘಾನಿಸ್ತಾನದ ಯುಎಸ್ ನೆಲೆಯಲ್ಲಿ ಆತ್ಮಾಹುತಿ ಬಾಂಬರ್ 3 ಸಾವು,ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ ಅಮೆರಿಕದ ನೆಲೆಯ ಮೇಲೆ ಆತ್ಮಹತ್ಯಾ ಬಾಂಬರ್‌ಗಳು ದಾಳಿ ನಡೆಸಿದ್ದಾರೆ
"ಅಫ್ಘಾನಿಸ್ತಾನದವರು ಕಾಲೇಜುಗಳಿಗೆ ಸೇರುತ್ತಾರೆ, ತಾಲಿಬಾನ್‌ಗಳು ಸಹ",ಅಫ್ಘಾನ್ ಜಿಲ್ಲಾ ಗವರ್ನರ್ ತಾಲಿಬಾನ್‌ಗೆ ಪಕ್ಷಾಂತರ
ಉತ್ತರ ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು 10 ವಿದೇಶಿ ಪ್ರವಾಸಿಗರನ್ನು ಕೊಂದಿದ್ದಾರೆ,ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು 11 ವಿದೇಶಿ ಪರ್ವತಾರೋಹಿಗಳನ್ನು ಕೊಂದಿದ್ದಾರೆ
"ಆಪಲ್ ಆದಾಯವು ಮತ್ತೆ ತಪ್ಪುತ್ತದೆ, ಐಫೋನ್ ನಿರಾಶೆಗೊಳಿಸುತ್ತದೆ","ಸ್ಯಾಮ್‌ಸಂಗ್‌ಗಾಗಿ ವ್ಯಾಪಾರ ಸಂಸ್ಥೆ ನಿಯಮಗಳು,  ಐಫೋನ್ ಆಮದುಗಳನ್ನು ನಿಷೇಧಿಸುತ್ತದೆ"
ಮ್ಯಾಟ್ ಸ್ಮಿತ್ 4 ವರ್ಷಗಳ ನಂತರ ಡಾಕ್ಟರ್ ಹೂವನ್ನು ತೊರೆಯಲಿದ್ದಾರೆ,ಮ್ಯಾಟ್ ಸ್ಮಿತ್ ಡಾಕ್ಟರ್ ಹೂವನ್ನು ತೊರೆದರು
ಡೇವಿಡ್ ಬೆಕ್‌ಹ್ಯಾಮ್ ಸಾಕರ್‌ನಿಂದ ನಿವೃತ್ತಿ ಘೋಷಿಸಿದರು,ಡೇವಿಡ್ ಬೆಕ್‌ಹ್ಯಾಮ್ ಫುಟ್‌ಬಾಲ್‌ನಿಂದ ನಿವೃತ್ತರಾದರು
ಇರಾಕ್ ಕಾರ್ ಬಾಂಬ್ ದಾಳಿಯಲ್ಲಿ 23 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,ಇರಾಕ್ ಬಾಂಬ್ ದಾಳಿಯಲ್ಲಿ 10 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ನ್ಯಾಷನಲ್ ಮಾಲ್‌ನಲ್ಲಿ ಬೆಂಕಿ ಹಚ್ಚಿಕೊಂಡ ವ್ಯಕ್ತಿ ಗಾಯಗಳಿಂದ ಸಾವನ್ನಪ್ಪಿದ್ದಾನೆ,ನ್ಯಾಷನಲ್ ಮಾಲ್‌ನಲ್ಲಿ ತನ್ನನ್ನು ತಾನೇ ಬೆಂಕಿ ಹಚ್ಚಿಕೊಂಡ ವ್ಯಕ್ತಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾನೆ
ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ ತಾಲಿಬಾನ್ ದಾಳಿಯಲ್ಲಿ 17 ನಾಗರಿಕರು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ ಸರಣಿ ದಾಳಿಯಲ್ಲಿ 10 ಪೊಲೀಸರು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ಟೆಕ್ಸಾಸ್ ನಿವಾಸಿಗಳು ಮಾರಣಾಂತಿಕ ಸ್ಫೋಟದ ನಂತರ ಚರ್ಚ್‌ನಲ್ಲಿ ಗುಣಪಡಿಸಲು ಬಯಸುತ್ತಾರೆ,ನಿವಾಸಿಗಳು ಟೆಕ್ಸಾಸ್ ಸ್ಫೋಟದ ಸ್ಥಳಕ್ಕೆ ಹಿಂತಿರುಗುತ್ತಾರೆ
ಈಜಿಪ್ಟ್ ಮಂತ್ರಿ ಹತ್ಯೆಯ ಪ್ರಯತ್ನದಿಂದ ಬದುಕುಳಿದರು,ಹತ್ಯೆ ಯತ್ನದಲ್ಲಿ ಸಿರಿಯಾದ ಪ್ರಧಾನಿ ಬದುಕುಳಿದಿದ್ದಾರೆ
ಮಾಜಿ ಪ್ರಥಮ ಮಹಿಳೆ ಬಾರ್ಬರಾ ಬುಷ್ ಟೆಕ್ಸಾಸ್ ಆಸ್ಪತ್ರೆಯನ್ನು ತೊರೆದರು,ಮಾಜಿ ಪ್ರಥಮ ಮಹಿಳೆ ಬಾರ್ಬರಾ ಬುಷ್ ಆಸ್ಪತ್ರೆಯನ್ನು ತೊರೆದರು
ಜಪಾನ್ ಪ್ರಧಾನಿಯಾಗಿ ಶಿಂಜೊ ಅಬೆ ಆಯ್ಕೆ,ಶಿಂಜೋ ಅಬೆ ಜಪಾನ್‌ನ ಪ್ರಧಾನ ಮಂತ್ರಿ
ಸ್ಕೀ ಅಪಘಾತದ ನಂತರ ಕೋಮಾದಲ್ಲಿ ಶುಮಾಕರ್,ಸ್ಕೀಯಿಂಗ್ ಅಪಘಾತದ ನಂತರ ಮೈಕೆಲ್ ಶುಮಾಕರ್ ಇನ್ನೂ ಕೋಮಾದಲ್ಲಿ ಜೀವಕ್ಕಾಗಿ ಹೋರಾಡುತ್ತಿದ್ದಾರೆ
ಬಾಂಗ್ಲಾದೇಶದಲ್ಲಿ ಜಮಾತ್ ನಾಯಕನ ಗಲ್ಲಿಗೇರಿಸಿದ ಘರ್ಷಣೆಯಲ್ಲಿ 2 ಸಾವು,ಬಾಂಗ್ಲಾದೇಶದ ಇಸ್ಲಾಮಿ ನಾಯಕನನ್ನು ಗಲ್ಲಿಗೇರಿಸಲಾಯಿತು
ಮಾಲಿ ಅಧ್ಯಕ್ಷರ ಮತಕ್ಕೆ ಕಾರಣ,ಅಧ್ಯಕ್ಷೀಯ ಓಟದ ನಂತರ ಮಾಲಿ ಮತಗಳನ್ನು ಎಣಿಸುತ್ತಾರೆ
ಚೀನಾ ಪೊಲೀಸ್ ಠಾಣೆಯ ದಾಳಿಯಲ್ಲಿ 11 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ,ಚೀನಾ ಪೊಲೀಸ್ ಠಾಣೆಯ ಮೇಲೆ ನಡೆದ ದಾಳಿಯಲ್ಲಿ 11 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
"ರಷ್ಯಾದಲ್ಲಿ ಬೋಯಿಂಗ್ ವಿಮಾನ ಪತನ, 50 ಸಾವು",ರಷ್ಯಾದ ಕಜಾನ್ ನಗರದಲ್ಲಿ ಬೋಯಿಂಗ್ ವಿಮಾನ ಪತನ; 50 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ಬ್ರಾಡ್ಲಿ ಕೂಪರ್ ಮತ್ತು ಜೆಜೆ ಅಬ್ರಾಮ್ಸ್ ಲ್ಯಾನ್ಸ್ ಆರ್ಮ್‌ಸ್ಟ್ರಾಂಗ್ ಬಯೋಪಿಕ್ ಚಿತ್ರೀಕರಣದ ಕುರಿತು ಮಾತುಕತೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ,ಬ್ರಾಡ್ಲಿ ಕೂಪರ್ ಬಯೋಪಿಕ್‌ನಲ್ಲಿ ಲ್ಯಾನ್ಸ್ ಆರ್ಮ್‌ಸ್ಟ್ರಾಂಗ್ ಆಗಿ ನಟಿಸಲು ಮಾತುಕತೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ
ಬ್ಲೂಮ್‌ಬರ್ಗ್ ಉತ್ತರಾಧಿಕಾರಿಯಾಗಿ ಡೆ ಬ್ಲಾಸಿಯೊ ನ್ಯೂಯಾರ್ಕ್ ಮೇಯರ್ ಆಗಿ ಪ್ರಮಾಣ ವಚನ ಸ್ವೀಕರಿಸಿದರು,ಬಿಲ್ ಡೆ ಬ್ಲಾಸಿಯೊ ಅವರು ಮೈಕೆಲ್ ಬ್ಲೂಮ್‌ಬರ್ಗ್ ಅವರ ಉತ್ತರಾಧಿಕಾರಿಯಾಗಿ ನ್ಯೂಯಾರ್ಕ್ ಮೇಯರ್ ಆಗಿ ಪ್ರಮಾಣ ವಚನ ಸ್ವೀಕರಿಸಿದರು
ಸಾರ್ವತ್ರಿಕ ಚುನಾವಣೆಯನ್ನು ಬಹಿಷ್ಕರಿಸಲು ಥಾಯ್ ವಿರೋಧ ಪಕ್ಷ,ಥಾಯ್ ವಿರೋಧ ಪಕ್ಷವು ಚುನಾವಣಾ ಬಹಿಷ್ಕಾರವನ್ನು ಘೋಷಿಸಿತು
ಬಾಂಗ್ಲಾದೇಶದಲ್ಲಿ ಕಟ್ಟಡ ಕುಸಿತ: ಸಾವಿನ ಸಂಖ್ಯೆ 540ಕ್ಕೆ ತಲುಪಿದೆ,ಬಾಂಗ್ಲಾದೇಶ ಕಟ್ಟಡ ಕುಸಿದು ಸಾವಿನ ಸಂಖ್ಯೆ 500 ದಾಟಿದೆ
ಪುಸ್ಸಿ ರಾಯಿಟ್ ಸದಸ್ಯ ಅಲ್ಯೋಖಿನಾ ರಷ್ಯಾದಲ್ಲಿ ಜೈಲಿನಿಂದ ಬಿಡುಗಡೆಯಾದರು,ಪುಸಿ ರಾಯಿಟ್ ಸದಸ್ಯೆ ಮಾರಿಯಾ ಅಲಿಯೋಖಿನಾ ಜೈಲಿನಿಂದ ಬಿಡುಗಡೆಗೊಂಡರು
"ಜಗನ್ ರೆಡ್ಡಿ ಆಸ್ಪತ್ರೆಗೆ ಶಿಫ್ಟ್, ಸೀಮಾಂಧ್ರದಲ್ಲಿ ವಿದ್ಯುತ್ ಬಿಕ್ಕಟ್ಟು ಮುಂದುವರೆದಿದೆ",ತೆಲಂಗಾಣ: ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಗುರುವಾರ ಕಳೆಯಲಿರುವ ಜಗನ್; ಸೀಮಾಂಧ್ರದಲ್ಲಿ ಕತ್ತಲು ಮುಂದುವರಿದಿದೆ
ಏಷಿಯಾನಾ ಜೆಟ್ ಕ್ರ್ಯಾಶ್ ಸ್ಯಾನ್ ಫ್ರಾನ್ಸಿಸ್ಕೋ ವಿಮಾನ ನಿಲ್ದಾಣದಲ್ಲಿ ಇಳಿಯಿತು,ಸ್ಯಾನ್ ಫ್ರಾನ್ಸಿಸ್ಕೋ ವಿಮಾನ ನಿಲ್ದಾಣದಲ್ಲಿ ವಿಮಾನ ಪತನ
ಮಧ್ಯ ಆಫ್ರಿಕನ್ ಗಣರಾಜ್ಯದ ಅಧ್ಯಕ್ಷರನ್ನು ಬಂಡುಕೋರರು ಪದಚ್ಯುತಗೊಳಿಸಿದರು,"ಸೆಂಟ್ರಲ್ ಆಫ್ರಿಕನ್ ರಿಪಬ್ಲಿಕ್ ಅಧ್ಯಕ್ಷ, ಪ್ರಧಾನ ಮಂತ್ರಿ ರಾಜೀನಾಮೆ"
ಮರಕಾನಾ ಪುನರಾರಂಭದಲ್ಲಿ ಬ್ರೆಜಿಲ್ ಇಂಗ್ಲೆಂಡ್ ವಿರುದ್ಧ 2-2 ಸಮಬಲ ಸಾಧಿಸಿತು,ಮರಕಾನಾ ಪುನರಾರಂಭದಲ್ಲಿ ಬ್ರೆಜಿಲ್ 2-2 ಗೋಲುಗಳಿಂದ ಇಂಗ್ಲೆಂಡ್ ವಶಪಡಿಸಿಕೊಂಡಿದೆ
ಯುಎಸ್ ಹೂಡಿಕೆ ಮಾತುಕತೆಗಳನ್ನು ಪುನರಾರಂಭಿಸಲು ಚೀನಾ,ಚೀನಾ ಮತ್ತು ತೈವಾನ್ ಐತಿಹಾಸಿಕ ಮಾತುಕತೆ ನಡೆಸುತ್ತವೆ
"ಮಂಡೇಲಾ ಆಸ್ಪತ್ರೆಗೆ ದಾಖಲಾಗಿದ್ದು, ಚಿಕಿತ್ಸೆಗೆ ಸ್ಪಂದಿಸಿದ್ದಾರೆ",ಮಾತು ನಿಲ್ಲಿಸಿದ ನಂತರ ಮಂಡೇಲಾ ಆಸ್ಪತ್ರೆಗೆ ದಾಖಲಾದರು
ಕಹಿ ವಲಸೆ ಚರ್ಚೆಯ ವಿರುದ್ಧ ಜಾರ್ಜ್ ಡಬ್ಲ್ಯೂ ಬುಷ್ ಎಚ್ಚರಿಸಿದ್ದಾರೆ,ಜಾರ್ಜ್ ಡಬ್ಲ್ಯೂ ಬುಷ್ ವಲಸೆ ಚರ್ಚೆಗೆ ತೂಗುತ್ತಾರೆ
ಬಾಂಗ್ಲಾದೇಶದ ನೂರಾರು ಬಟ್ಟೆ ಕಾರ್ಖಾನೆಯ ಕಾರ್ಮಿಕರು ಅಸ್ವಸ್ಥರಾಗಿದ್ದಾರೆ,ಬಾಂಗ್ಲಾದೇಶದ ಕಾರ್ಖಾನೆಯಲ್ಲಿ ನೂರಾರು ಮಂದಿ ಅಸ್ವಸ್ಥರಾಗಿದ್ದಾರೆ
ಉತ್ತರ ಕೊರಿಯಾದ ಪರಮಾಣು ಪರೀಕ್ಷೆಯನ್ನು ರಷ್ಯಾ ಖಂಡಿಸಿದೆ,ಉತ್ತರ ಕೊರಿಯಾ ವಿವಾದಾತ್ಮಕ ಮೂರನೇ ಪರಮಾಣು ಪರೀಕ್ಷೆ ನಡೆಸಿದೆ ಎಂದು ದಕ್ಷಿಣ ಕೊರಿಯಾ ಖಚಿತಪಡಿಸಿದೆ
ರಷ್ಯಾದ ಕಲ್ಲಿದ್ದಲು ಗಣಿ ಸ್ಫೋಟದಲ್ಲಿ 18 ಮಂದಿ ಸಿಕ್ಕಿಬಿದ್ದಿದ್ದಾರೆ,ರಷ್ಯಾದ ಕಲ್ಲಿದ್ದಲು ಗಣಿ ಸ್ಫೋಟದಲ್ಲಿ 10 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ಯೆಮೆನ್ ಆತ್ಮಾಹುತಿ ಬಾಂಬ್ ದಾಳಿ ಸೈನಿಕರನ್ನು ಕೊಲ್ಲುತ್ತದೆ,ರಷ್ಯಾದ ನಿಲ್ದಾಣದಲ್ಲಿ ಮಹಿಳಾ ಆತ್ಮಹತ್ಯಾ ಬಾಂಬರ್ 16 ಮಂದಿಯನ್ನು ಕೊಂದರು
ಇಸ್ರೇಲ್ ಸಿರಿಯಾ ಮೇಲೆ ವೈಮಾನಿಕ ದಾಳಿ ನಡೆಸುತ್ತಿದೆ,ಇಸ್ರೇಲ್ ಸಿರಿಯಾ ವಿರುದ್ಧ ಹೊಸ ವೈಮಾನಿಕ ದಾಳಿಯನ್ನು ಪ್ರಾರಂಭಿಸಿದೆ
ಥಾಯ್ ಪ್ರತಿಭಟನಾಕಾರರು ಸೇನಾ ಪ್ರಧಾನ ಕಚೇರಿಗೆ ನುಗ್ಗಿದರು,ಥಾಯ್ ಪ್ರತಿಭಟನಾಕಾರರು ಸೇನೆಯ ಪ್ರಧಾನ ಕಚೇರಿಗೆ ನುಗ್ಗಿದರು
"U.S. ಈಶಾನ್ಯಕ್ಕೆ ಹಿಮಪಾತವು ಆಗಮಿಸುತ್ತದೆ, ಐದು ಮಂದಿ ಸತ್ತರು, 700,000 ಜನರು ಶಕ್ತಿಯನ್ನು ಕಳೆದುಕೊಂಡರು","ಹಿಮಪಾತವು ಯುಎಸ್ ಈಶಾನ್ಯಕ್ಕೆ ಅಡ್ಡಿಪಡಿಸುತ್ತದೆ, ರಸ್ತೆಗಳನ್ನು ಮುಚ್ಚುತ್ತದೆ"
ಟುನಿಸ್‌ನಲ್ಲಿ ಪ್ರತಿಭಟನಾಕಾರರನ್ನು ಚದುರಿಸಲು ಪೊಲೀಸರು ಅಶ್ರುವಾಯು ಪ್ರಯೋಗಿಸಿದರು,ಕೈರೋದಲ್ಲಿ ಪ್ರತಿಭಟನಾಕಾರರ ಮೇಲೆ ಪೊಲೀಸರು ಅಶ್ರುವಾಯು ಪ್ರಯೋಗಿಸಿದರು
ಟೋಕಿಯೋ 2020 ರ ಒಲಂಪಿಕ್ ಕ್ರೀಡಾಕೂಟವನ್ನು ಆಯೋಜಿಸುತ್ತದೆ,2020 ರ ಟೋಕಿಯೊ ಒಲಿಂಪಿಕ್ಸ್‌ನಲ್ಲಿ ಕುಸ್ತಿಯನ್ನು ಪ್ರದರ್ಶಿಸಲಾಗುತ್ತದೆ
ಈಜಿಪ್ಟ್‌ನ ಪ್ರಮುಖ ವಿರೋಧವು ಅಧ್ಯಕ್ಷರ ಮಾತುಕತೆಯ ಕರೆಯನ್ನು ತಿರಸ್ಕರಿಸುತ್ತದೆ,ಈಜಿಪ್ಟ್ ವಿರೋಧವು ಮೊರ್ಸಿ ಸಂವಾದ ಕರೆಗೆ ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು ನೀಡುತ್ತದೆ
ಮೇ ತಿಂಗಳಲ್ಲಿ ವಸತಿ 6.8% ರಷ್ಟು ಪ್ರಾರಂಭವಾಗುತ್ತದೆ,ಮೇ ವಸತಿ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ 6.8%
